row,year,unc_status,transfer,comp_major,major,prereqs,prior_exp,ap_principles,ap_a,other_comp,prior_time,languages,hours_online_social,hours_online_work,tech_best_interests,apps_accessible,identity_my_interaction,id_interact_with_me,interested_connections,social_issues,research_biases,researchers_unbiased,empirical_data,cs_objective,algorithms_objective,tech_impact,pre_lecture_videos,add_livestream,own_notes,own_examples,oh_visits,ls_effective,lsqs_effective,programming_effective,qz_effective,oh_effective,tutoring_effective,pace,difficulty,understanding,interesting,valuable,would_recommend
11,27,Junior,No,No,Information Science,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,2,5,5,5,6,7,5,6,6,6,5,4,7,6,2,3,1,5,2,6,5,,,6,5,3,4,5,4
12,29,Freshman,No,No,Business,"MATH 129P, MATH 231, STOR 155",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,5,5,5,6,5,5,6,3,4,4,5,6,7,4,6,4,1,4,5,5,6,5,,5,5,4,4,4,4
13,29,Sophomore,No,No,Data Science,"MATH 231, MATH 232, STOR 113, STOR 155",7-12 months,Yes,Yes,High school course (IB or other),1 month or so,Python,3 to 5 hours,5 to 10 hours,3,4,6,6,6,6,6,5,3,5,6,6,7,7,6,3,0,7,7,4,6,,,7,5,5,6,6,6
14,29,Sophomore,No,No,Business,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,0 to 2 hours,0 to 2 hours,5,5,2,5,2,6,6,4,3,4,5,5,6,5,5,2,1,2,3,5,5,,,5,4,5,4,5,5
15,27,Senior,No,No,Media and Journalism,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,7,5,7,6,6,6,6,6,5,7,7,6,7,4,7,2,0,7,7,6,7,,,5,6,3,7,7,7
16,29,Sophomore,No,No,Business,"MATH 129P, MATH 231, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,"Python, JavaScript / TypeScript, HTML / CSS",3 to 5 hours,5 to 10 hours,5,7,5,5,3,7,5,6,4,4,3,5,3,7,7,4,1,5,6,6,5,4,,5,5,2,5,6,6
17,27,Junior,No,No,Environmental Science/Studies,"MATH 130, MATH 231, MATH 232",2-6 months,No,No,UNC,1 month or so,"Python, R / Matlab / SAS",0 to 2 hours,0 to 2 hours,4,6,1,1,1,2,4,6,4,4,4,3,3,7,5,3,2,4,5,4,3,,,4,4,5,2,4,4
18,27,Junior,No,No,Media and Journalism,"STOR 113, STOR 155",2-6 months,Yes,No,UNC,None to less than one month!,"Python, JavaScript / TypeScript, HTML / CSS",3 to 5 hours,3 to 5 hours,5,5,4,4,5,4,4,4,2,4,4,5,5,4,7,5,2,5,5,5,7,,,5,4,4,5,6,6
19,29,Sophomore,No,No,Biology,"MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,7,5,5,2,5,5,7,6,5,5,5,7,5,7,5,1,5,6,6,6,,,5,5,3,5,5,5
20,28,Sophomore,No,No,Psychology,"MATH 129P, MATH 130, MATH 152, MATH 231",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,5,6,4,7,5,4,5,2,5,6,7,4,7,7,5,5,1,6,5,6,7,3,,4,5,4,5,6,5
21,28,Sophomore,No,No,Statistics and Analytics,"MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 120, STOR 155",7-12 months,Yes,No,None,None to less than one month!,"Python, R / Matlab / SAS, HTML / CSS",3 to 5 hours,5 to 10 hours,5,4,7,7,4,7,7,6,4,6,6,5,6,7,7,4,0,7,7,7,7,5,,2,2,6,6,7,7
22,28,Sophomore,No,No,Mathematics,"MATH 231, MATH 232, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,"Python, R / Matlab / SAS",0 to 2 hours,5 to 10 hours,4,5,1,3,1,4,2,5,4,3,5,6,1,1,5,1,0,1,2,7,4,5,,1,3,5,4,4,5
23,28,Junior,No,No,Psychology,"MATH 130, MATH 231",7-12 months,No,No,Another college or community college,1 month or so,"Python, Java / C#, JavaScript / TypeScript, R / Matlab / SAS",0 to 2 hours,5 to 10 hours,6,6,4,4,3,6,4,4,4,4,5,4,5,7,6,5,1,7,3,5,6,,,4,6,3,2,2,2
24,27,Junior,No,No,Earth Science,"MATH 130, STOR 120",1-2 years,No,No,UNC,7-12 months,"Python, R / Matlab / SAS",3 to 5 hours,3 to 5 hours,3,6,4,4,5,6,5,6,3,4,5,6,6,7,5,6,1,6,5,6,3,7,,6,5,3,5,5,4
25,27,Junior,Yes,No,Neuroscience,"MATH 129P, MATH 152, STOR 155",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,5,5,3,5,6,6,6,3,2,3,4,5,5,5,6,3,2,6,5,5,5,,,5,5,3,3,3,3
26,29,Junior,No,Yes - Minor,Neuroscience,"MATH 231, MATH 232, MATH 233, PSYC 210, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,5,6,4,4,6,4,6,4,3,4,5,5,4,4,3,4,0,4,5,6,6,,,2,2,5,5,5,6
27,29,Freshman,No,No,Mathematics,"MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",2-6 months,No,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#",0 to 2 hours,10+ hours,7,5,3,3,5,4,4,5,3,5,5,7,4,7,5,4,0,3,3,4,6,,,5,3,7,7,7,7
28,29,Freshman,No,No,Statistics and Analytics,"MATH 152, MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,2,2,5,5,6,7,5,4,2,2,4,4,7,7,2,5,0,5,7,7,7,,,1,1,6,7,7,7
29,29,Freshman,No,No,Biology,"MATH 231, MATH 232",2-6 months,No,No,UNC,None to less than one month!,Python,5 to 10 hours,3 to 5 hours,5,5,4,4,5,5,6,4,3,4,3,5,5,5,5,5,1,5,5,5,5,5,,2,3,5,4,4,5
30,28,Sophomore,No,No,Economics,"MATH 129P, MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,0 to 2 hours,0 to 2 hours,5,5,4,4,4,4,4,4,5,5,5,5,6,6,6,6,5,5,6,6,6,,,5,6,5,6,6,7
31,28,Senior,No,No,Environmental Science/Studies,"MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,2,6,2,2,4,6,7,5,1,3,5,6,7,7,6,4,0,7,5,5,5,,,5,4,4,3,5,5
32,27,Junior,No,No,Biology,"MATH 231, PSYC 210, STOR 151",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,5,5,4,4,4,7,2,3,5,5,4,6,4,5,3,1,6,5,5,5,,7,6,6,2,5,5,5
33,28,Sophomore,No,No,Economics,"MATH 231, PHIL 155, STOR 113, STOR 120, STOR 155",2-6 months,Yes,No,UNC,None to less than one month!,"Python, R / Matlab / SAS",3 to 5 hours,5 to 10 hours,4,6,6,6,7,7,5,6,2,4,3,5,5,4,5,4,1,6,5,5,7,2,3,4,4,4,6,7,6
34,28,Junior,No,No,Biology,MATH 231,None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,5,5,4,5,3,5,7,2,5,4,4,7,4,7,6,6,1,3,4,5,6,6,,6,4,4,4,2,6
35,28,Senior,No,No,Neuroscience,PSYC 210,2-6 months,No,No,Other,None to less than one month!,Python,0 to 2 hours,3 to 5 hours,4,6,7,6,3,5,5,6,4,3,5,5,3,6,6,5,0,5,7,6,7,,,5,4,5,3,5,4
36,29,Sophomore,No,Yes - BS,Mathematics,"MATH 231, MATH 232, STOR 120",2-6 months,Yes,No,High school course (IB or other),None to less than one month!,Python,5 to 10 hours,5 to 10 hours,6,4,4,3,7,6,6,6,4,6,7,5,7,7,6,5,0,7,5,7,6,,,5,4,5,7,7,7
37,29,Sophomore,No,No,Neuroscience,"MATH 231, MATH 232, STOR 120, STOR 151",2-6 months,Yes,No,High school course (IB or other),2-6 months,Python,3 to 5 hours,5 to 10 hours,4,6,5,4,4,4,4,4,4,4,4,4,6,7,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
38,29,Freshman,No,No,Neuroscience,"MATH 129P, MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,5,6,5,5,4,6,6,3,3,5,5,6,5,7,5,5,1,6,6,6,3,6,6,6,5,4,4,6,5
39,28,Senior,No,No,Neuroscience,"MATH 231, MATH 232, PSYC 210, STOR 155",None to less than one month!,,,,,,0 to 2 hours,0 to 2 hours,6,6,5,4,5,6,7,6,3,4,5,6,7,7,5,3,0,4,6,7,5,,6,6,6,4,4,6,6
40,29,Junior,No,No,Biostatistics,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,3,6,4,6,5,7,6,3,2,3,4,5,5,3,6,5,2,6,7,3,6,,6,4,2,6,5,6,7
41,27,Junior,No,No,Psychology,"MATH 231, PSYC 210, STOR 155",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,5,7,5,7,7,7,5,7,2,4,5,7,4,6,3,5,0,3,6,7,6,,,2,2,6,5,4,4
42,29,Sophomore,No,No,Neuroscience,MATH 231,None to less than one month!,,,,,,5 to 10 hours,10+ hours,6,6,3,3,5,5,5,5,2,4,6,6,6,6,6,1,1,4,5,5,5,7,7,4,2,5,3,5,7
43,28,Sophomore,No,No,Neuroscience,"MATH 130, MATH 231",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,6,6,4,5,2,3,4,3,2,4,5,4,6,5,6,1,0,5,5,3,6,,,3,3,3,2,7,4
44,29,Sophomore,Yes,No,Environmental Health Sciences,"MATH 129P, MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,4,7,5,4,7,4,6,2,3,5,6,5,6,4,6,3,2,7,6,6,4,4,4,4,5,3,6,7,6
45,28,Senior,No,No,Nursing,"MATH 130, MATH 152, MATH 210, PSYC 210, PSYC 215",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,5,5,2,3,3,5,4,4,3,4,5,4,5,5,6,2,1,4,6,5,5,,,3,4,4,3,2,5
46,29,Sophomore,No,No,Environmental Science/Studies,STOR 155,None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,2,3,5,6,4,5,7,2,2,4,3,5,5,5,6,3,1,4,6,6,6,7,,4,4,5,5,4,6
47,27,Senior,No,No,Economics,"MATH 231, MATH 232, MATH 233, MATH 381",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,1,3,6,7,3,7,7,6,5,6,3,7,7,5,6,5,0,7,7,7,7,,,4,2,6,6,6,7
48,27,Senior,No,No,Biology,"MATH 231, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,5,6,3,3,1,6,6,2,5,5,3,5,5,6,7,2,1,5,6,7,7,5,4,7,7,6,2,2,4
49,26,Senior,No,No,Political Science,"MATH 129P, PHIL 155",2-6 months,No,No,UNC,None to less than one month!,"Python, R / Matlab / SAS",5 to 10 hours,3 to 5 hours,6,7,2,2,4,5,5,2,3,4,5,5,4,5,5,3,4,5,7,6,3,,,5,5,3,5,5,6
50,27,Senior,No,No,Psychology,"MATH 231, MATH 232, PSYC 210",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,3,6,5,5,1,5,7,4,1,2,6,5,6,1,7,3,1,7,4,6,6,7,,7,5,3,6,7,5
51,28,Junior,No,No,Statistics and Analytics,"MATH 210, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 120",2-6 months,No,No,UNC,None to less than one month!,"Python, R / Matlab / SAS",5 to 10 hours,3 to 5 hours,6,6,3,4,5,5,4,7,6,5,6,6,2,6,1,2,0,5,3,5,6,,,3,3,6,5,5,5
52,28,Senior,No,No,Neuroscience,"MATH 231, MATH 232, PSYC 210",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,4,6,7,6,5,6,6,3,2,4,5,3,5,6,6,4,2,3,3,4,5,6,,3,5,5,3,5,5
53,28,Sophomore,No,No,Economics,"MATH 231, MATH 232",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
54,28,Junior,No,No,Applied Sciences,"MATH 130, MATH 231, MATH 232, MATH 233",2-6 months,No,No,None,1 month or so,"Python, C / C++",3 to 5 hours,5 to 10 hours,1,7,2,3,6,6,6,3,2,5,6,2,6,3,5,2,0,6,4,4,3,5,,4,5,3,5,5,5
55,29,Sophomore,Yes,No,Environmental Science/Studies,MATH 130,None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,6,6,4,4,2,4,5,5,5,4,4,5,5,3,7,3,3,5,5,5,5,5,5,5,6,3,5,7,5
56,28,Sophomore,No,No,Applied Sciences,"MATH 231, MATH 232, MATH 233",2-6 months,No,No,None,1 month or so,"Python, R / Matlab / SAS",3 to 5 hours,3 to 5 hours,3,6,4,4,3,4,5,4,3,6,6,5,4,5,1,1,0,3,3,4,4,,,4,5,4,2,1,3
57,28,Junior,No,No,Business,"MATH 129P, MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,0 to 2 hours,5,6,5,6,3,4,5,5,4,6,6,6,3,5,5,6,0,5,6,6,6,4,4,5,5,3,5,4,5
58,29,Sophomore,No,No,Neuroscience,"MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",2-6 months,No,No,High school course (IB or other),1 month or so,"Python, JavaScript / TypeScript",3 to 5 hours,0 to 2 hours,6,7,4,4,5,6,6,6,2,2,6,6,1,6,2,6,0,3,5,5,5,,,5,5,4,3,5,5
59,27,Senior,Yes,No,Economics,"MATH 231, MATH 232, STOR 155",2-6 months,No,No,UNC,2-6 months,"Python, R / Matlab / SAS",3 to 5 hours,3 to 5 hours,4,6,4,4,6,6,6,6,4,6,4,6,7,7,4,7,0,7,7,7,7,,,5,5,5,6,6,5
60,27,Senior,No,No,Neuroscience,"MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,5,1,1,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,1
61,27,Junior,No,No,Biology,"MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,2,6,5,5,5,5,5,4,3,4,2,5,5,5,6,4,1,4,5,5,6,5,,4,4,4,5,2,7
62,29,Junior,No,No,Information Science,"MATH 129P, MATH 130, MATH 152, MATH 210, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,7,5,2,2,7,6,7,4,2,3,1,4,7,7,7,4,2,7,7,4,5,,5,6,6,4,5,7,7
63,27,Junior,No,No,Biology,"MATH 232, MATH 233",7-12 months,No,No,High school course (IB or other),7-12 months,"Python, R / Matlab / SAS",3 to 5 hours,3 to 5 hours,4,5,6,6,6,7,7,2,3,4,1,4,7,7,2,7,1,7,7,7,3,2,,5,3,7,3,6,5
64,26,Senior,No,No,Psychology,"MATH 129P, MATH 130, MATH 152, MATH 231, MATH 232, MATH 233, PSYC 210",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,2,5,2,7,4,6,7,2,2,2,1,6,6,6,6,3,1,4,2,1,6,1,5,5,6,2,1,6,1
65,29,Senior,No,Yes - Minor,Business,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 155",2-6 months,Yes,No,Another college or community college,2-6 months,"Python, Java / C#",5 to 10 hours,5 to 10 hours,6,6,4,4,5,3,3,6,3,5,6,5,6,6,6,3,2,5,5,3,5,,,5,4,5,5,5,5
66,29,Sophomore,No,No,Statistics and Analytics,"MATH 129P, MATH 231, MATH 232, STOR 155",7-12 months,Yes,No,High school course (IB or other),None to less than one month!,Python,3 to 5 hours,0 to 2 hours,5,4,6,5,3,4,6,3,3,4,4,6,4,5,6,3,1,5,5,6,3,,,3,2,6,4,5,6
67,28,Sophomore,No,No,Applied Sciences,"MATH 152, MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,5,6,4,5,4,5,5,6,4,4,5,6,4,5,6,3,1,3,6,5,5,,,5,5,4,3,5,5
68,28,Sophomore,No,No,Economics,"MATH 231, STOR 155",None to less than one month!,,,,,,0 to 2 hours,0 to 2 hours,4,5,1,1,6,5,5,3,3,4,4,7,7,7,6,1,3,7,7,5,7,4,6,5,5,4,5,4,6
69,28,Senior,No,No,Neuroscience,"MATH 129P, MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,0 to 2 hours,6,6,5,4,3,6,5,2,3,5,5,5,5,6,7,3,2,3,2,2,3,3,7,5,5,4,3,5,5
70,29,Sophomore,No,No,Mathematics,"MATH 129P, MATH 231, MATH 232, MATH 381",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,4,5,5,5,6,7,7,3,3,4,5,5,5,4,6,5,0,6,7,7,7,,,5,5,6,4,7,7
71,29,Junior,No,Yes - BS,Computer Science,"MATH 231, MATH 232",1-2 years,No,No,Another college or community college,7-12 months,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS",5 to 10 hours,5 to 10 hours,4,7,1,1,7,7,7,6,4,1,4,4,7,3,7,7,0,4,6,7,7,,,4,2,7,7,7,7
72,28,Junior,No,No,Neuroscience,"MATH 129P, MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,6,6,2,2,5,7,7,4,4,4,5,5,7,7,7,5,1,7,1,4,7,4,7,5,3,5,2,2,4
73,29,Freshman,Yes,No,Neuroscience,"MATH 130, PSYC 210",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,7,6,1,1,3,1,7,1,2,6,5,6,7,7,7,3,5,5,5,4,4,7,7,6,7,2,4,2,4
74,28,Sophomore,No,No,Biology,"MATH 129P, MATH 231, STOR 120, STOR 155",2-6 months,No,No,UNC,None to less than one month!,"Python, JavaScript / TypeScript, R / Matlab / SAS",3 to 5 hours,3 to 5 hours,4,7,3,6,5,5,5,2,3,3,6,4,4,2,5,4,0,5,3,5,5,,,6,3,5,4,5,6
75,27,Junior,No,No,Biology,MATH 130,None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,6,7,3,4,3,7,4,5,4,3,4,5,7,2,6,2,0,3,4,5,2,,,5,5,4,5,3,5
76,28,Junior,No,No,Environmental Health Sciences,"MATH 231, MATH 232",7-12 months,No,Yes,None,None to less than one month!,"Python, Java / C#",3 to 5 hours,3 to 5 hours,3,4,5,5,5,5,6,4,2,3,3,5,7,5,5,2,2,5,3,3,4,,,4,6,3,4,6,5
77,28,Junior,No,No,Neuroscience,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,2,6,6,6,6,7,6,5,3,4,4,5,5,5,5,6,0,3,5,7,7,7,7,3,4,4,6,6,5
78,28,Junior,No,No,Environmental Health Sciences,"MATH 129P, MATH 130, MATH 231, MATH 232",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,3,6,5,4,5,5,5,5,2,4,5,5,5,5,6,4,1,4,5,5,5,5,,4,3,4,5,5,5
79,28,Junior,No,No,Biology,"MATH 130, STOR 151",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1
80,28,Senior,No,No,Neuroscience,"MATH 129P, MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,4,7,2,1,6,6,3,6,4,5,5,4,7,7,7,3,3,6,6,5,7,6,7,4,3,7,6,7,7
81,27,Senior,No,No,Chemistry,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233, MATH 381, PHIL 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,3,4,6,6,7,7,7,2,2,3,3,5,6,5,6,3,3,6,6,5,7,4,4,2,1,6,6,6,7
82,28,Sophomore,No,No,Psychology,"MATH 130, PSYC 210, STOR 155",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,3,5,5,5,2,5,3,5,2,4,5,5,7,6,7,3,3,5,5,2,6,5,6,7,7,1,3,1,2
83,29,Sophomore,No,No,Business,"MATH 231, MATH 232",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,2,2,4,4,4,5,5,3,2,4,5,5,3,3,4,4,1,5,5,5,5,5,,4,3,5,3,2,6
84,29,Junior,No,No,Neuroscience,"MATH 129P, MATH 231, MATH 232",2-6 months,No,No,High school course (IB or other),1 month or so,Python,3 to 5 hours,5 to 10 hours,5,7,4,4,4,6,6,4,4,4,4,4,7,6,5,5,0,6,3,3,3,,,5,4,4,4,2,4
85,28,Junior,No,No,Biology,"MATH 231, STOR 120",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,5,7,3,3,1,2,5,6,4,4,7,7,5,4,7,7,3,5,6,5,5,5,5,7,7,3,5,5,3
86,28,Junior,No,No,Environmental Science/Studies,"MATH 130, MATH 231, MATH 232",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,2,6,3,5,1,7,7,4,2,4,3,4,4,6,7,3,2,5,3,5,4,5,3,4,4,3,5,4,5
87,26,Senior,No,No,Economics,"MATH 210, PSYC 210, STOR 120",2-6 months,No,No,UNC,1 month or so,"Python, R / Matlab / SAS, SQL",3 to 5 hours,3 to 5 hours,2,5,6,6,6,6,6,4,2,3,5,5,4,4,5,2,2,4,1,5,7,,,6,4,4,5,7,7
88,28,Sophomore,No,No,English,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381",2-6 months,No,No,High school course (IB or other),None to less than one month!,Python,0 to 2 hours,0 to 2 hours,5,6,2,3,2,5,7,3,1,3,3,7,1,3,2,1,0,1,5,1,6,,,2,1,6,3,5,5
89,29,Junior,No,No,Business,"MATH 231, MATH 232, STOR 155",7-12 months,No,No,On-line course,None to less than one month!,"Python, R / Matlab / SAS",3 to 5 hours,5 to 10 hours,3,5,5,4,3,6,6,4,2,4,3,6,6,6,5,2,0,4,5,6,4,,,3,3,5,2,5,4
90,29,Sophomore,No,No,Biology,"MATH 231, MATH 232, MATH 233",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,1,5,5,4,6,6,6,4,5,3,6,5,5,5,6,5,0,4,5,7,6,,,3,3,6,6,7,7
91,28,Sophomore,No,Yes - BS,Economics,"MATH 129P, MATH 210, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,10+ hours,5 to 10 hours,5,7,5,5,5,6,5,4,4,6,6,5,5,4,2,3,1,5,6,5,6,7,5,4,2,5,5,6,6
92,27,Senior,No,No,Biology,"MATH 129P, MATH 231, STOR 151",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,3,5,2,2,3,4,5,4,3,4,5,5,5,7,6,1,0,4,3,3,4,,,3,3,5,1,1,1
93,28,Junior,No,No,Business,"STOR 113, STOR 155",None to less than one month!,,,,,,5 to 10 hours,10+ hours,5,6,4,4,5,5,5,5,5,5,5,5,7,7,6,6,2,7,3,4,6,4,4,7,5,5,5,6,6
94,29,Junior,No,No,Business,"MATH 231, MATH 232, PHIL 155, STOR 120, STOR 155",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,3,5,5,5,4,5,6,6,5,5,6,6,6,6,4,5,1,5,5,5,5,5,,4,3,5,5,6,5
95,27,Junior,Yes,No,Neuroscience,"MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,7,7,7,7,4,6,6,6,6,6,6,6,1,2,3,4,4,6,7,6,5,4,3,2,1,2,3,4,7
96,28,Sophomore,No,No,Economics,"MATH 129P, MATH 130, MATH 152, MATH 231, MATH 233, MATH 347, MATH 381, STOR 155",2-6 months,No,No,High school course (IB or other),1 month or so,"Python, Java / C#, R / Matlab / SAS, HTML / CSS",3 to 5 hours,5 to 10 hours,6,7,5,3,3,2,3,5,6,6,6,7,6,3,2,2,0,4,6,6,7,,,4,3,4,2,4,6
97,26,Junior,No,No,Medical Anthropology,"MATH 129P, MATH 231",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,3,5,5,5,4,7,7,2,4,4,5,5,5,3,7,5,1,5,5,5,5,6,6,5,4,4,6,5,6
